Date,HXZ_IA,HXZ_ROE
1992-05-29,0.002946,-0.002077
1992-06-30,0.006495,0.010496
1992-07-31,0.003947,0.025521
1992-08-31,-0.007711,0.015203
1992-09-30,-0.0039700000000000004,0.02398
1992-10-30,-0.0035870000000000003,0.021274
1992-11-30,-0.011742999999999998,0.009418
1992-12-31,0.014063,0.018253
1993-01-29,0.029828,-0.014432
1993-02-26,0.036544,-0.014761
1993-03-31,0.00928,0.0179
1993-04-30,0.012024,-0.030656
1993-05-28,-0.008477,-0.005601
1993-06-30,0.018154,0.03004
1993-07-30,0.014641,-0.005573
1993-08-31,-0.000631,0.004555
1993-09-30,0.002725,0.009455999999999999
1993-10-29,-0.005657,-0.014109
1993-11-30,-0.0074919999999999995,-0.0070799999999999995
1993-12-31,-0.002567,0.023857
1994-01-31,0.011293,-0.009199
1994-02-28,-0.0046500000000000005,0.026661
1994-03-31,0.009685000000000001,0.002222
1994-04-29,0.012717000000000001,0.015314000000000001
1994-05-31,0.005122,-0.00759
1994-06-30,0.009217,0.001916
1994-07-29,0.004279,0.0071719999999999996
1994-08-31,-0.0069099999999999995,0.020615
1994-09-30,0.005877,0.010909
1994-10-31,0.001614,0.0035570000000000003
1994-11-30,-0.010048,0.013697999999999998
1994-12-30,0.012908,0.039827
1995-01-31,-1e-05,-0.000615
1995-02-28,-0.008475,0.0051080000000000006
1995-03-31,0.001683,0.012652000000000002
1995-04-28,5.2e-05,0.0014030000000000002
1995-05-31,0.008541,-0.010112000000000001
1995-06-30,-0.017424,0.021316
1995-07-31,-0.025441,0.009424
1995-08-31,0.021972000000000002,0.001399
1995-09-29,0.019320999999999998,0.013925
1995-10-31,0.007787,0.027818
1995-11-30,0.011249,-0.002405
1995-12-29,0.031196,0.002748
1996-01-31,0.024524,-0.015103
1996-02-29,-0.009846,0.031374
1996-03-29,-0.006913,0.002772
1996-04-30,-0.018066,0.028665
1996-05-31,0.01024,0.018666000000000002
1996-06-28,0.017379,0.008662999999999999
1996-07-31,0.020166,0.024151
1996-08-30,-0.018517,0.001317
1996-09-30,-0.017393000000000002,0.022059000000000002
1996-10-31,0.036629,0.018827
1996-11-29,-0.013094,0.008178999999999999
1996-12-31,0.012261,0.009378
1997-01-31,-0.006503,0.018122
1997-02-28,0.029173,-0.015353
1997-03-31,0.017519,0.017713
1997-04-30,-0.018803,0.038597
1997-05-30,-0.032328,-0.002224
1997-06-30,0.002313,0.021092
1997-07-31,-0.030419,0.012833
1997-08-29,-0.006984000000000001,-0.014123000000000002
1997-09-30,-0.0013189999999999999,-0.010478000000000001
1997-10-31,0.026444000000000002,-0.010642
1997-11-28,0.028803000000000002,0.014029
1997-12-31,0.022097000000000002,0.01599
1998-01-30,-0.012038,0.021861000000000002
1998-02-27,-0.024551,0.011306
1998-03-31,0.004615,-0.0014069999999999998
1998-04-30,0.001955,-0.001867
1998-05-29,0.022383,0.017629
1998-06-30,-0.015552,0.03159
1998-07-31,0.018809,0.009711
1998-08-31,0.0546,0.030573000000000003
1998-09-30,-0.030889000000000003,-0.018208
1998-10-30,-0.009585,0.0064459999999999995
1998-11-30,-0.00025100000000000003,0.013694999999999999
1998-12-31,-0.029345,0.029251
1999-01-29,-0.044702,-0.032515
1999-02-26,0.048125999999999995,0.000168
1999-03-31,0.0031530000000000004,-0.006918
1999-04-30,0.026612,-0.051577000000000005
1999-05-28,0.004504,0.006804
1999-06-30,-0.021112000000000002,0.02391
1999-07-30,0.034338,0.010281
1999-08-31,-0.011989000000000001,-0.000297
1999-09-30,-0.013826,-0.0016950000000000001
1999-10-29,0.003316,0.020316999999999998
1999-11-30,-0.03931,-0.030073
1999-12-31,-0.054904,-0.054444
2000-01-31,0.029355000000000003,-0.049997999999999994
2000-02-29,-0.05393099999999999,-0.075531
2000-03-31,0.018349999999999998,0.076712
2000-04-28,0.037871,0.087108
2000-05-31,0.005084999999999999,0.000196
2000-06-30,-0.033837,-0.047887000000000006
2000-07-31,0.022468,0.034291999999999996
2000-08-31,-0.007996,-0.020819999999999998
2000-09-29,0.052247,0.02086
2000-10-31,0.029227,0.073399
2000-11-30,0.074474,0.103613
2000-12-29,0.063542,0.051859999999999996
2001-01-31,-0.071277,-0.107874
2001-02-28,0.092225,0.051517
2001-03-30,0.037571,0.034588
2001-04-30,-0.037549,0.000756
2001-05-31,0.023857,-0.025497000000000002
2001-06-29,-0.017986,-0.007873
2001-07-31,0.013614,0.039606
2001-08-31,0.056559,0.042819
2001-09-28,0.02866,0.09188700000000001
2001-10-31,-0.029832,-0.043712
2001-11-30,-0.011371,-0.08490500000000001
2001-12-31,-0.001655,0.005423
2002-01-31,0.03247,0.003051
2002-02-28,0.044408,0.053227000000000003
2002-03-28,0.007837,-0.047004000000000004
2002-04-30,0.040782,0.054627
2002-05-31,0.021983000000000003,0.018221
2002-06-28,0.035525,0.049414999999999994
2002-07-31,0.019788,0.06701399999999999
2002-08-30,-0.008714,0.025383
2002-09-30,-0.021427,0.044435
2002-10-31,0.002822,-0.045754
2002-11-29,0.032678,-0.111763
2002-12-31,-0.022643,0.053183
2003-01-31,0.0069630000000000004,-0.006249
2003-02-28,-0.001273,0.009038000000000001
2003-03-31,-0.00135,0.033926
2003-04-30,0.010393,-0.04476
2003-05-30,0.018435999999999998,-0.08298299999999999
2003-06-30,-0.010804000000000001,0.010722
2003-07-31,0.023076,-0.017597
2003-08-29,0.023428,-0.012471000000000001
2003-09-30,0.0022500000000000003,0.012857
2003-10-31,0.010086999999999999,-0.017421
2003-11-28,0.023287,0.0077139999999999995
2003-12-31,0.007939,-0.0176
2004-01-30,0.020478,-0.024214000000000003
2004-02-27,-0.008853,0.021363
2004-03-31,-0.007348,0.01753
2004-04-30,-0.028950999999999998,0.000119
2004-05-28,0.005524,0.010771999999999999
2004-06-30,-0.002731,0.005677
2004-07-30,-0.010148999999999998,0.024171
2004-08-31,-0.012084,-0.012408999999999998
2004-09-30,-0.022151,-0.002254
2004-10-29,0.005703000000000001,-0.014301
2004-11-30,-0.004366999999999999,-0.011431
2004-12-31,0.003013,-0.008673
2005-01-31,-0.004044,0.032406000000000004
2005-02-28,0.0030719999999999996,0.035962
2005-03-31,0.008307,0.0050219999999999996
2005-04-29,-0.014702999999999999,-0.011183
2005-05-31,-0.0005290000000000001,0.009696
2005-06-30,-0.001906,-0.004286
2005-07-29,-0.020753,-0.002051
2005-08-31,0.002262,-0.006543
2005-09-30,-0.00032,0.008685
2005-10-31,-0.003087,0.011009
2005-11-30,-0.010563,0.007835
2005-12-30,0.00882,0.00232
2006-01-31,-0.006817,-0.002541
2006-02-28,0.024377,-0.009888000000000001
2006-03-31,-0.013474,0.0079
2006-04-28,0.0034360000000000003,0.008233
2006-05-31,0.013255999999999999,-0.000951
2006-06-30,-0.003976,0.010466999999999999
2006-07-31,0.013484000000000001,0.005433
2006-08-31,0.019244,-0.013340000000000001
2006-09-29,0.009826,0.006313
2006-10-31,0.0020150000000000003,-0.003021
2006-11-30,-0.015971,0.004977
2006-12-29,0.018284,-0.0056159999999999995
2007-01-31,0.006257,0.00053
2007-02-28,-0.009707,-0.007314
2007-03-30,-0.011817,0.0044340000000000004
2007-04-30,0.008501,0.0053890000000000006
2007-05-31,-0.023109,0.0053300000000000005
2007-06-29,0.009524,0.01213
2007-07-31,-0.022503000000000002,0.015445
2007-08-31,-0.013209,0.009284
2007-09-28,-0.031977000000000005,0.01616
2007-10-31,0.004596,0.012246
2007-11-30,0.0017380000000000002,0.035993
2007-12-31,-0.0060209999999999994,0.023146
2008-01-31,0.013977999999999999,-0.00335
2008-02-29,-0.015091,0.018089
2008-03-31,-0.003529,0.023694000000000003
2008-04-30,-0.023214000000000002,-0.008157
2008-05-30,-0.003461,-0.003489
2008-06-30,-0.001872,0.063718
2008-07-31,0.018031,-0.00019199999999999998
2008-08-29,0.009417,-0.009233
2008-09-30,0.031609,0.016471
2008-10-31,0.010391999999999998,0.058889
2008-11-28,0.0050160000000000005,0.035054
2008-12-31,-0.023563,-0.006256
2009-01-30,-0.009195,-0.007397
2009-02-27,-0.018632,0.029127
2009-03-31,-0.004563,-0.033319
2009-04-30,0.035317,-0.139902
2009-05-29,-0.024121,-0.032921
2009-06-30,0.004848,0.009566999999999999
2009-07-31,0.020193,-0.049457
2009-08-31,0.022890999999999998,-0.025811999999999998
2009-09-30,-0.011383,-0.027953000000000002
2009-10-30,-0.0025280000000000003,0.039382
2009-11-30,-0.003339,0.010111000000000002
2009-12-31,-0.001381,-0.018542
2010-01-29,0.006653,-0.010677
2010-02-26,0.00703,-0.010406
2010-03-31,0.016201,-0.005102
2010-04-30,0.030632000000000003,-0.024887000000000003
2010-05-28,-0.004777,0.027377
2010-06-30,-0.02491,0.013467
2010-07-30,0.012168000000000002,-0.008604
2010-08-31,-0.017234,-0.005062
2010-09-30,0.01142,0.00509
2010-10-29,-0.000223,0.0064529999999999995
2010-11-30,0.018646,-0.000799
2010-12-31,0.030162,-0.036796999999999996
2011-01-31,0.012924999999999999,0.005331
2011-02-28,0.014419999999999999,-0.016479999999999998
2011-03-31,-0.001315,-0.009575
2011-04-29,-0.009779,0.015871
2011-05-31,-0.010350999999999999,0.001308
2011-06-30,-0.011515,0.028113000000000003
2011-07-29,-0.020383,0.0074860000000000005
2011-08-31,-0.013168,0.025889000000000002
2011-09-30,0.000766,-0.007641
2011-10-31,-0.005881,0.021402
2011-11-30,0.015253000000000001,0.005804
2011-12-30,0.026695000000000003,0.011493
2012-01-31,-0.0057399999999999994,-0.006313
2012-02-29,0.000789,0.0029189999999999997
2012-03-30,0.014303999999999999,0.016789000000000002
2012-04-30,0.008585,0.010202
2012-05-31,0.026809,0.016079
2012-06-29,0.010217,-0.017619
2012-07-31,0.0050929999999999994,0.015194000000000001
2012-08-31,-0.014664,-0.005072
2012-09-28,0.012038,0.001979
2012-10-31,0.018508,0.004723
2012-11-30,0.007994,0.017203
2012-12-31,-0.008369,-0.019895
2013-01-31,0.015622,-0.020267
2013-02-28,0.007303,0.0006619999999999999
2013-03-28,0.012920000000000001,0.005017000000000001
2013-04-30,0.001008,-0.01049
2013-05-31,-0.016629,-0.004309
2013-06-28,0.007117,-0.001152
2013-07-31,0.006492,-0.004789
2013-08-30,-0.017886,0.0057469999999999995
2013-09-30,-0.007386,-0.009744000000000001
2013-10-31,0.011612,0.01337
2013-11-29,0.00014800000000000002,0.015472999999999999
2013-12-31,0.007391999999999999,-0.001739
2014-01-31,-0.002918,-0.023112
2014-02-28,-0.0062970000000000005,-0.014761999999999999
2014-03-31,0.027038000000000003,0.017701
2014-04-30,0.008015,0.010755999999999998
2014-05-30,-0.009378,-0.006562
2014-06-30,-0.026584,-0.025842
2014-07-31,0.007158,0.011954
2014-08-29,-0.009247,0.001376
2014-09-30,-0.003101,0.030633
2014-10-31,0.0052829999999999995,0.016899
2014-11-28,0.003424,0.025253
2014-12-31,0.004723,-0.006555999999999999
2015-01-30,-0.010728999999999999,-0.003707
2015-02-27,-0.013937999999999999,0.000837
2015-03-31,-0.002615,0.008338
2015-04-30,-0.008011,-0.021972000000000002
2015-05-29,-0.00612,0.014466000000000001
2015-06-30,-0.024461,0.012477
2015-07-31,-0.027296,0.043509
2015-08-31,0.011632,0.007598000000000001
2015-09-30,0.0030719999999999996,0.042728999999999996
2015-10-30,0.006523999999999999,-0.02314
2015-11-30,-0.005479,-0.017097
2015-12-31,0.00328,0.029435
2016-01-29,0.027736,0.053293
2016-02-29,0.017188000000000002,0.020303
2016-03-31,-0.007057,-0.021273
