Date,LIQ_PS
1991-04-30,0.01658207
1991-05-31,-0.01043347
1991-06-28,0.02998807
1991-07-31,0.01557791
1991-08-30,-0.01699254
1991-09-30,0.01170763
1991-10-31,0.02183811
1991-11-29,0.04312706
1991-12-31,-0.04932854
1992-01-31,-0.07748136
1992-02-28,-0.04885885
1992-03-31,-0.00085337
1992-04-30,-0.00461487
1992-05-29,-0.00157019
1992-06-30,0.01939018
1992-07-31,0.02428208
1992-08-31,0.04932559
1992-09-30,-0.02176638
1992-10-30,-0.01951491
1992-11-30,-0.0507198
1992-12-31,-0.03053146
1993-01-29,-0.0089819
1993-02-26,0.06623622
1993-03-31,-0.03846259
1993-04-30,-0.01728532
1993-05-28,0.04146819
1993-06-30,-0.03527159
1993-07-30,-0.01283928
1993-08-31,0.01799178
1993-09-30,-0.07830297
1993-10-29,0.04276914
1993-11-30,0.04920888
1993-12-31,0.01650241
1994-01-31,-0.0024806
1994-02-28,0.00783604
1994-03-31,0.02580671
1994-04-29,0.00559831
1994-05-31,0.03150225
1994-06-30,-0.00198332
1994-07-29,-0.0075066
1994-08-31,0.00548321
1994-09-30,0.03119027
1994-10-31,0.00973093
1994-11-30,-0.02160148
1994-12-30,0.01930035
1995-01-31,-0.03140997
1995-02-28,-0.02663006
1995-03-31,0.00982348
1995-04-28,0.0035213
1995-05-31,-0.01164138
1995-06-30,-0.00567392
1995-07-31,0.03964738
1995-08-31,-0.02143166
1995-09-29,-0.07656433
1995-10-31,0.03771907
1995-11-30,0.00909125
1995-12-29,-0.01612119
1996-01-31,0.02844004
1996-02-29,0.00972366
1996-03-29,-0.0115087
1996-04-30,-0.03253059
1996-05-31,-0.01003411
1996-06-28,-0.04781987
1996-07-31,-0.03935225
1996-08-30,0.00714965
1996-09-30,-0.03213671
1996-10-31,-0.02175363
1996-11-29,0.02343186
1996-12-31,-0.02166792
1997-01-31,-0.02417095
1997-02-28,-0.03118169
1997-03-31,0.01400754
1997-04-30,0.08876939
1997-05-30,0.00672225
1997-06-30,0.00657488
1997-07-31,0.01838978
1997-08-29,-0.01273881
1997-09-30,-0.01390388
1997-10-31,0.01508663
1997-11-28,0.07442238
1997-12-31,0.03653999
1998-01-30,0.02357964
1998-02-27,0.07538767
1998-03-31,-0.03254065
1998-04-30,0.00497198
1998-05-29,-0.00767628
1998-06-30,0.0219474
1998-07-31,0.00792674
1998-08-31,-0.03482823
