Date,MktRf,SMB,HML,RMW,CMA,RF,UMD,LTR,STR,LIQ_PS,HXZ_IA,HXZ_ROE,Intermediary,BAB,QMJ,HML_Devil
2012-12-31,0.0118,0.0192,0.0348,-0.0172,0.008,0.0001,-0.0293,0.038,0.0019,0.01673154,-0.008369,-0.019895,0.0533,-0.0105302873653104,-0.025997327152294,0.028455723115165
2013-01-31,0.0557,0.0042,0.0101,-0.0200999999999999,0.0152,0.0,-0.0182,0.0335,-0.0154,-0.02549078,0.015622,-0.020267,0.0684237914843742,0.0438704873365172,-0.0211060599780706,0.0115189894609826
2013-02-28,0.0129,-0.0025,0.0021,-0.0059,0.0060999999999999,0.0,0.0123,-0.0016,-0.0116999999999999,-0.00809271,0.007303,0.0006619999999999,-0.0201667188732413,0.0188604252874755,0.0055684687927028,-0.0009633024433784
2013-03-28,0.0403,0.0088,-0.0022,0.0027,0.0141,0.0,0.0192,0.0147,-0.019,0.00607252,0.01292,0.005017,-0.0248930896603604,0.0234224167100808,-0.0044302336856666,-0.0025809613414557
2013-04-30,0.0156,-0.0224,0.0044,0.0039,0.0043,0.0,0.0022,-0.003,-0.011,-0.01888749,0.001008,-0.01049,0.0621951261126964,0.0166990116601172,-0.0103295457174612,-0.0016108152029206
2013-05-31,0.0281,0.0204,0.0266999999999999,-0.02,-0.0095,0.0,-0.0200999999999999,0.0306999999999999,0.0158,0.00363658,-0.016629,-0.004309,0.0457518748950219,-0.0149465634799609,0.0017017811258002,0.0128717536173088
2013-06-28,-0.012,0.0154,-0.0005,-0.0028,-0.0006,0.0,0.0043,-0.0091,0.0046,-0.0130649,0.007117,-0.001152,-0.0614286499606081,0.0206890036503821,0.0129329681062855,0.0005841735026937
2013-07-31,0.0565,0.0175,0.0058,-0.0135,0.0056999999999999,0.0,0.0174,0.0174,0.0196,0.00276527,0.006492,-0.004789,0.1124649806029468,0.0180527790870099,-0.0109027090074837,0.0066606242957492
2013-08-30,-0.0271,-0.0003,-0.0273,0.0070999999999999,-0.0217,0.0,0.0004,-0.0138,-0.0078,0.01257205,-0.017886,0.0057469999999999,-0.0426484963561609,-0.0038543804407152,0.0092683770122983,-0.0089970064327116
2013-09-30,0.0377,0.0265,-0.0118,-0.0054,-0.0132,0.0,0.0302,-0.0011,-0.0049,-0.02340124,-0.007386,-0.009744,0.0359089731537188,0.0076934891568275,-0.0064129226914589,-0.0139895858160651
